date,x,y,x_0,y_0,mu_x,mu_y,scale,r,maha_dist
2013-10-16,0.1692717047350416,-3.274208564251417,-0.13415072122976238,-1.090154583305458,0.6737831691670465,0.825623924451431,3.7607808575842014,1.0528947190722813,3.959706304538531
2013-10-17,-1.341242873342301,2.2803274904864295,-0.5371565393486367,0.38469095469731435,0.6797688380897294,0.8329562536622341,3.7624259659628017,0.7026967182303167,2.6438443788665897
2013-10-18,2.3442055170250975,-3.5913089713048167,0.439878719616727,-1.173272774761364,0.6862820395667456,0.8308110176649831,3.7690467929499425,1.2718395075957223,4.7936226172506915
2013-10-19,5.249629780015803,-0.1306241994527826,1.2076048638727181,-0.25450334001739594,0.6902090296052206,0.8302760455187548,3.775589919196571,1.3007006326838368,4.910912196653697
2013-10-20,2.651695510028769,-0.18395227139560133,0.5157378614814608,-0.26806113316309765,0.7007945353150394,0.830052642784144,3.7827375502542164,0.6188627617221092,2.3409954072202503
2013-10-21,0.5391731495063464,-2.34282646620368,-0.04473428062284177,-0.8357989155272304,0.7087153168998777,0.8248372956965054,3.789983096474816,0.8080428835202311,3.062468869768445
2013-10-22,-1.9279432621831791,2.165844222243131,-0.6944639439383102,0.3548227980358615,0.7118828493739467,0.8170765930427404,3.8012428645130982,0.8302832285649868,3.156108198107554
2013-10-23,1.8408557543554598,7.534374819462909,0.2966903072584671,1.7615027258550722,0.7098225014233875,0.8192307472403858,3.8121678573973505,1.7052774235457955,6.500803781986649
2013-10-24,4.492634053465002,5.049696879208695,0.9899358270419975,1.1052884210549028,0.7141739319842318,0.8309504639289704,3.8168737995583943,1.402387856031364,5.352737464504983
2013-10-25,6.052238477943753,0.9437647907723349,1.3918077734008205,0.029386034590527025,0.7281983637709153,0.8313552828313411,3.8252697074422723,1.438680291605084,5.503340138171143
2013-10-26,0.9704781545407113,3.385946348447377,0.060698476060375955,0.6658700132432547,0.7378961498829496,0.83449213454652,3.8317601981706346,0.6429639710086498,2.463683752968682
2013-10-27,3.027333178557919,3.3314452933515764,0.5919058861902444,0.6505902485867984,0.7507409254540863,0.8291408655129374,3.8462064767710613,0.8316903389449232,3.1988527683178827
2013-10-28,2.5666625432659025,5.559120056615067,0.46809546368215366,1.2256002918172044,0.761073258806069,0.8315998697528969,3.857309938995404,1.2359906348583714,4.767598960344435
2013-10-29,5.9376340409307655,4.335057041910284,1.3384728962002028,0.9067365121773269,0.7653033866966918,0.831107824438364,3.8643521799491256,1.5602978436420576,6.029540373448105
2013-10-30,4.543741704445922,0.5826812661773952,0.973969681085368,-0.06873903861079869,0.7699863023675789,0.849018425668951,3.8746128091718033,1.0180680664846775,3.944619571010303
2013-10-31,3.425464312402507,2.340932200046773,0.6814418581409825,0.37900677977034986,0.7797265295899116,0.8694162589566249,3.882558359462008,0.7600664526666497,2.9510023595475356
2013-11-01,3.811953419155973,4.3793824197270546,0.7782864444523347,0.9010463835638536,0.7865468959104629,0.8767753448998489,3.8872661149513283,1.1241747526001242,4.369966423066256
2013-11-02,3.0343605360112638,2.9703475358385054,0.5769208712044224,0.5366443592449056,0.7877334855121613,0.880564007188587,3.894168442561072,0.7494384644631659,2.918439617953888
2013-11-03,-1.7532185671207141,-0.3968138869101097,-0.6514339568603222,-0.3285035908364548,0.78869960309623,0.8850186576401283,3.9020351080070754,0.7146158371852164,2.7884560854345826
2013-11-04,-1.32216918673428,1.1175461177361479,-0.5413306653140965,0.06072882520486611,0.7940928419739536,0.8801346517617465,3.909370306003843,0.5700132996925102,2.228393067845169
2013-11-05,0.7706698158735887,6.284089293926345,-0.0026984779770150256,1.3813621527336015,0.781239443068127,0.8734529650764147,3.9168847344939404,1.341855668060167,5.255893982119036
