k,gamma
1795,-0.19061758840251042
1796,-0.1900936287255423
1797,-0.1904884736790305
1798,-0.19281261483792514
1799,-0.19213236015793453
1800,-0.19152011183252252
1801,-0.19172697166684788
1802,-0.19105307983102793
1803,-0.19019560782262648
1804,-0.18913036240575176
1805,-0.19012971568698728
1806,-0.1915719631605212
1807,-0.19037172384107948
1808,-0.1914719207643425
1809,-0.1907156052757128
1810,-0.18997808374923328
1811,-0.1899689022515357
1812,-0.18926820708244269
1813,-0.18959566679049691
1814,-0.19019596435478334
1815,-0.19308282292011686
1816,-0.19315052501303562
1817,-0.19432344337015492
1818,-0.19338136401763775
1819,-0.19259105754296046
1820,-0.19375780990396277
1821,-0.19354890220043205
1822,-0.19246275429989262
1823,-0.1912347397243633
1824,-0.19083580851755738
1825,-0.19412475746465196
1826,-0.1950437019261767
1827,-0.19450163086526365
1828,-0.19444571137698521
1829,-0.19390802439573326
1830,-0.19803769697621695
1831,-0.19852767898872806
1832,-0.19868572910473797
1833,-0.19777982823663184
1834,-0.19703780208543026
1835,-0.19599344252734674
1836,-0.1988775721055356
1837,-0.19922102928711363
1838,-0.1987544993038111
1839,-0.19753309258481205
1840,-0.19885296125184265
1841,-0.198472665008412
1842,-0.19788917867106115
1843,-0.1978140987494856
1844,-0.1973977058250713
1845,-0.19764738549600058
1846,-0.1971696378887578
1847,-0.19942875575352412
1848,-0.1989397723623305
1849,-0.1977572095476053
1850,-0.19716324879179953
1851,-0.19596390556206156
1852,-0.19628455956143012
1853,-0.19567947262755978
1854,-0.19508355641978606
1855,-0.1954282132439305
1856,-0.19419495392863181
1857,-0.19328490258070077
1858,-0.1941772658615337
1859,-0.19315732077765244
1860,-0.19355720437605453
1861,-0.1934331187967462
1862,-0.19316732750064505
1863,-0.19207299948867723
1864,-0.19152343714485093
1865,-0.1911783803345538
1866,-0.19036124228591372
1867,-0.1900532435553131
1868,-0.18905555112723477
1869,-0.18917211260136835
1870,-0.18832770780581498
1871,-0.1888467147603155
1872,-0.18871019479572151
1873,-0.18769246647371052
1874,-0.18716991463164728
1875,-0.1866091480922574
1876,-0.18612323166327938
1877,-0.18520300109684618
1878,-0.18453180008720066
1879,-0.18675248952560375
1880,-0.1871477486265438
1881,-0.18626695242558364
1882,-0.18509636970345633
1883,-0.18526589796642537
1884,-0.18609376316201587
1885,-0.1852047623051965
1886,-0.18483568042175663
1887,-0.18387655543529186
1888,-0.18498979609893726
1889,-0.18433217133791532
1890,-0.18342936748055763
1891,-0.18401770200819204
1892,-0.1853566219872791
1893,-0.18449548972569715
1894,-0.18399446105699507
1895,-0.18435532822767559
1896,-0.18397333924924325
1897,-0.18322344680281266
1898,-0.18315690919755048
1899,-0.18262138341594283
1900,-0.18227924386561745
1901,-0.1833643258691661
1902,-0.18488141273277944
1903,-0.18680504533201964
1904,-0.1889408680210205
