k,gamma
361,-0.17400352805269825
362,-0.1694073228289918
363,-0.16558622717997346
364,-0.1633315423469115
365,-0.1674596242944988
366,-0.16443438149042353
367,-0.1783003400814616
368,-0.17641109611936373
369,-0.17293402502789335
370,-0.18175590561154203
371,-0.1784659547230371
372,-0.17927893721089516
373,-0.18420586437401654
374,-0.1818209789249807
375,-0.1920590572291812
376,-0.19217676305682668
377,-0.18790962451401833
378,-0.19140520355023055
379,-0.18697929317155948
380,-0.18460561297286687
381,-0.1848545913380889
382,-0.18151091401180688
383,-0.17959530796563922
384,-0.18893445813413745
385,-0.18561433556070972
386,-0.18426158831913492
387,-0.1826630727207157
388,-0.1920978522609027
389,-0.18983093096670778
390,-0.18725011780997872
391,-0.18361295181300563
392,-0.1787426954416394
393,-0.17412674330982084
394,-0.17667483859151217
395,-0.17606605090216862
396,-0.174975273897034
397,-0.17039190705509705
398,-0.1699979594223623
399,-0.16696880601593295
400,-0.16473297754766747
401,-0.16072552649718297
402,-0.16089458147723762
403,-0.16312981443791358
404,-0.1619741044805691
405,-0.1613913565005041
406,-0.1575196792390503
407,-0.1543249220279411
408,-0.15020464070940132
409,-0.1492127868491167
410,-0.14515879780111302
411,-0.15819054922642106
412,-0.15586016064043995
413,-0.1545659879446421
414,-0.15478429418911477
415,-0.16206337046116334
416,-0.1652394014829341
417,-0.1630506636889008
418,-0.1603665451352248
419,-0.16181772627918217
420,-0.17519946537587783
421,-0.17216529576173273
422,-0.18455820145194057
423,-0.1850194183410404
424,-0.18235730736296712
425,-0.17780519029435352
426,-0.17333648535551427
427,-0.18093872524314983
428,-0.17775800191241725
429,-0.1741392074716398
430,-0.17054033880190533
431,-0.16891279286791944
432,-0.1729794322454851
433,-0.18439280200244507
434,-0.18184109146967092
435,-0.1778055111342316
436,-0.18147437250260035
437,-0.17725479775944095
438,-0.17780522608132826
439,-0.17426186893367396
440,-0.19262165849508842
441,-0.19357881279492245
442,-0.19432792116727476
443,-0.19301304104070816
444,-0.20494890143372999
445,-0.20262382432946124
446,-0.20303147554591253
447,-0.19955651222044263
448,-0.19633390164120706
449,-0.19270595303091165
450,-0.19046079935659638
451,-0.18761143024856416
452,-0.18593002294300537
453,-0.18160221886850741
454,-0.1784873590413898
455,-0.1865534279690204
456,-0.18703900350440755
457,-0.19208591811317144
458,-0.19850020828340403
459,-0.2030543778747989
460,-0.20620794029666584
461,-0.2074194420608827
462,-0.22449203310383925
463,-0.22397544164576322
464,-0.22354885907837674
465,-0.2209021732274169
466,-0.21735009896757448
467,-0.21562142656910688
468,-0.2153230554539021
469,-0.21333356653126737
470,-0.20942702576967523
471,-0.22117903510451137
472,-0.21777044171060456
473,-0.21571019091468774
474,-0.2217187176637099
475,-0.2180249409998013
476,-0.2148493867760341
477,-0.21236099685363266
478,-0.20824100207785864
479,-0.21227419162282468
480,-0.20930189930045603
481,-0.21024345056228488
482,-0.20710382374681346
483,-0.20307123815194453
484,-0.20166887004241846
485,-0.19795540572320314
486,-0.19703434284062685
487,-0.1976393990610295
488,-0.20077549764007951
489,-0.1998834707838684
490,-0.20550164615719094
491,-0.2032496909604748
492,-0.20181081427419525
493,-0.20011417928276706
494,-0.19668369742097455
495,-0.19335139078183278
496,-0.19093909596207978
497,-0.19714238631657338
498,-0.19567435334917851
499,-0.19457489319183666
500,-0.19833559461906705
501,-0.19765404322935815
502,-0.2103863013369808
503,-0.21220491874593395
504,-0.20855946137216416
505,-0.20772843120957876
506,-0.20490668766762063
507,-0.2027580089351032
508,-0.20148391701378288
509,-0.20019004516754615
510,-0.19963909384653009
511,-0.1960462940399098
512,-0.19402836356911457
513,-0.19048441971997784
514,-0.18903472254975817
515,-0.18844933145147236
516,-0.18523223077997877
517,-0.18652722508628994
518,-0.19053421780729968
519,-0.19313594109821483
520,-0.19824820685084368
521,-0.19533524723858747
522,-0.19314850448092138
523,-0.19419547800545042
524,-0.19327334258724282
525,-0.1959139971853367
526,-0.19337175599106562
527,-0.18986032792405116
528,-0.18783075844542907
529,-0.19009938798681197
530,-0.18986605326532127
531,-0.19113985743555417
532,-0.18886471030357063
533,-0.18836946066957674
534,-0.1889038439983803
535,-0.19127261680814353
536,-0.19204452239159192
537,-0.18830163918023907
538,-0.19005704031744344
539,-0.19099865605609923
540,-0.19159375605834944
541,-0.19436030263331067
542,-0.19094131002439543
543,-0.18750141108799961
544,-0.18971222555233355
545,-0.18747829301433128
546,-0.18830300186738974
547,-0.18619812302777486
548,-0.1848734307779122
549,-0.181591531130951
550,-0.1810740626816
551,-0.1788346821376884
552,-0.1752937941629904
553,-0.17949065670078193
554,-0.1759224875932448
555,-0.17690834719519188
556,-0.17448044578426092
557,-0.17175030609864195
558,-0.16850644529777747
559,-0.1743266820482429
560,-0.17583477607220244
561,-0.17451820304968005
562,-0.18535738687713957
563,-0.1838485198204857
564,-0.18219548638289831
565,-0.18390837654526712
566,-0.18692879970810364
567,-0.18619034683123104
568,-0.18467912204188616
569,-0.18322892551652736
570,-0.18208746928110087
571,-0.17910144625255456
572,-0.18210312028287545
573,-0.18007562914942918
574,-0.17818994656419346
575,-0.18252106581109204
576,-0.17918937003547583
577,-0.1902020203659751
578,-0.18858532959812907
579,-0.18908279688209967
580,-0.1863450970747742
581,-0.20412347586091578
582,-0.20195123823321853
583,-0.19891770511322093
584,-0.19798782780807692
585,-0.19907399213855512
586,-0.19827393004185817
587,-0.19624574154610838
588,-0.19781355344999046
589,-0.20313212004646183
590,-0.20128953756845738
591,-0.19996519010727631
592,-0.20006088395144594
593,-0.19762607171703947
594,-0.19677998474414832
595,-0.19795416802984797
596,-0.19954253562197993
597,-0.2077684119372083
598,-0.21000060007627747
599,-0.21052772731754837
600,-0.20802187090720997
601,-0.2118917652028249
602,-0.20849177714325665
603,-0.2052952424059052
604,-0.20267588493432714
605,-0.21090722065101378
606,-0.22281844561914715
607,-0.21950509301882407
608,-0.21968518281609606
609,-0.2216630612136426
610,-0.2190063611998247
611,-0.2180838387082679
612,-0.223140714688431
613,-0.2219322424811803
614,-0.22461936902739962
615,-0.22532990875016382
616,-0.22298069883499572
617,-0.2201511095170214
618,-0.218392980030521
619,-0.21663820247274215
620,-0.21928574621990835
621,-0.21617160630470292
622,-0.21422667694064987
623,-0.21171816797028462
624,-0.211631355946693
625,-0.20914341343010906
626,-0.20636949932228196
627,-0.20305126331130505
628,-0.20074707678367854
629,-0.20017248996980957
630,-0.19824005335438746
631,-0.19757036455149257
632,-0.20080479349772376
633,-0.19944648517151523
634,-0.1985508494205198
635,-0.20007393672102827
636,-0.1979393260827963
637,-0.19668833607844174
638,-0.19980054765285224
639,-0.2049811877072961
640,-0.20211620726374438
641,-0.20228778306606707
642,-0.1995220224592858
643,-0.19790890833899255
644,-0.19519862347343306
645,-0.19551109457552188
646,-0.19664925085208193
647,-0.19457300519766615
648,-0.19187785907144803
649,-0.1892103231357715
650,-0.18662744783763469
651,-0.18631643410045037
652,-0.1856895368091492
653,-0.18815138723212904
654,-0.18604755274552245
655,-0.1878768771412237
656,-0.18483143507925295
657,-0.1833385726608531
658,-0.1832548874782091
659,-0.18309927847727878
660,-0.18306324376115526
661,-0.18316581668720883
662,-0.1807607213278387
663,-0.1817295194164211
664,-0.179662822596145
665,-0.17684715153464703
666,-0.1752045591233762
667,-0.17229744003966851
668,-0.17056479946994432
669,-0.16865974004271805
670,-0.1848243982498748
671,-0.18613608150431638
672,-0.1841986827123731
673,-0.18319017034020865
674,-0.18041508383375843
675,-0.17926717825161553
676,-0.17942004818431034
677,-0.17776932405144205
678,-0.18386385362282337
679,-0.1929601195063948
680,-0.19350801177784227
681,-0.1909597518357743
682,-0.1930078333749024
683,-0.19289697326564456
684,-0.19075338146060783
685,-0.19035999828754982
686,-0.1880842693291075
687,-0.18540823277803684
688,-0.18849674527216495
